Nombre de la Estación,Tipo de Instalación,Latitude,Longitude,Barrio
Glenwood Management - Paramount Garage,PAY_GARAGE,40.74793,-73.974556,Manhattan
35 SUTTON 1 35 SUTTON PL,No data,40.758358,-73.9597,Manhattan
iPark NYC 555 West Garage Corp. - Tesla Destination,No data,40.748931,-74.006078,Manhattan
iPark NYC E 80th Street - Tesla Destination,No data,40.773471,-73.952304,Manhattan
Icon Parking 245 E 19th St. - Tesla Destination,No data,40.73591,-73.983331,Manhattan
iPark NYC 455 Central Park West - Tesla Destination,No data,40.797875,-73.961228,Manhattan
300 W 135 St - Little Man Parking - Tesla Destination,No data,40.816366,-73.947365,Manhattan
Icon Parking 515 E 72nd Street - Tesla Destination,No data,40.766857,-73.952647,Manhattan
Manhattan Parking 110 LLC - Tesla Destination,No data,40.804167,-73.965894,Manhattan
Weill Cornell Medical,HOSPITAL,40.765378,-73.955054,Manhattan
Weill Cornell Medical,HOSPITAL,40.765313,-73.955553,Manhattan
United Nations,OFFICE_BLDG,40.748965,-73.969649,Manhattan
Delancey and Essex Municipal Parking Garage,PARKING_GARAGE,40.7193187,-73.9881965,Brooklyn
PANYNJ LGA E GARAGE C1,No data,40.77033,-73.865683,Queens
BMW CAR SHARING THE SOLAIRE ST1,No data,40.716305,-74.016194,Brooklyn
MP 102 LLC MP 102 LLC,No data,40.791267,-73.952039,Manhattan
MONTEFIOREMOSES MOSES,No data,40.879718,-73.880394,Bronx
MP 225 LLC NS1-100 JAY ST,No data,40.70182,-73.986824,Brooklyn
CARCHARGING GMC 225 W 49 #1,No data,40.761376,-73.985273,Manhattan
Apple West Parking,No data,40.795783,-73.973678,Manhattan
Manhattan Plaza,No data,40.759223,-73.992703,Manhattan
Icon Parking - 111 Eighth Avenue,No data,40.741421,-74.003186,Manhattan
Icon Parking - Patriot Parking,No data,40.719772,-74.010475,Brooklyn
Icon Parking - One Lincoln Plaza,No data,40.771626,-73.981032,Manhattan
Tribeca Green,No data,40.71695,-74.014948,Brooklyn
Central Parking - 146 W 57th St,No data,40.764609,-73.979517,Manhattan
Carnegie Hill,No data,40.784865,-73.948526,Manhattan
170 Park Row,PARKING_GARAGE,40.713246,-74.001,Brooklyn
CHHA2 Garages LLC,PARKING_GARAGE,40.733934,-73.993118,Manhattan
CHHA2 Garages LLC,PARKING_GARAGE,40.757099,-73.963122,Manhattan
CHHA2 Garages,PAY_GARAGE,40.811438,-73.960481,Manhattan
STATION 4TH FL MOTORGATE 3,No data,40.764464,-73.946924,Manhattan
STATION 4TH FL MOTORGATE #2,No data,40.764208,-73.947198,Manhattan
551W21 SR Capital - Tesla Destination,No data,40.747278,-74.007618,Manhattan
Enterprise Parking 219 E 69th St - Tesla Destination,No data,40.767519,-73.960678,Manhattan
iPark 314 W 120th Street - Tesla Destination,No data,40.806974,-73.954006,Manhattan
Nap York - Tesla Destination,No data,40.752301,-73.99,Manhattan
Park N Go - E 121 St - Tesla Destination,No data,40.800795,-73.937382,Manhattan
Parkit 200 West End Ave - Tesla Destination,No data,40.777982,-73.985407,Manhattan
Rapidpark 205 W 101st Street - Tesla Destination,No data,40.797676,-73.968479,Manhattan
"The Standard, East Village - Tesla Destination",No data,40.867375,-73.924227,Bronx
Icon Parking - Claridge 87 Parking,No data,40.779687,-73.952595,Manhattan
Imperial Parking,No data,40.7440113,-73.9741155,Manhattan
STATION 4TH FL MOTORGATE #1,No data,40.764429,-73.946793,Manhattan
Icon Parking 1114 Ave & 6th,No data,40.755245,-73.983406,Manhattan
NYC FLEET DPR_ICAHN_1_L3,No data,40.792194,-73.92455,Manhattan
The St. Regis,No data,40.7613979,-73.9746128,Manhattan
TATABROOKFIELD #2,No data,40.755077,-73.955605,Manhattan
TATABROOKFIELD GATEWAY #1,No data,40.755024,-73.955605,Manhattan
TATABROOKFIELD #8,No data,40.75533,-73.95569,Manhattan
TATABROOKFIELD #7,No data,40.755314,-73.955605,Manhattan
TATABROOKFIELD #6,No data,40.75516,-73.955605,Manhattan
TATABROOKFIELD #5,No data,40.755142,-73.9556,Manhattan
TATABROOKFIELD #4,No data,40.755108,-73.955605,Manhattan
35 SUTTON 1 SUTTON PL 2,No data,40.75824,-73.95967,Manhattan
PANYNJ LGA E GARAGE W1,No data,40.770752,-73.866327,Queens
NYC FLEET DPR_ICAHN_3_L3,No data,40.7923,-73.92468,Manhattan
NYC FLEET DPR_ICAHN_2_L3,No data,40.79237,-73.924644,Manhattan
CHHA2 Garages,PARKING_GARAGE,40.77599,-73.95044,Manhattan
VISN 2/NYHHCS/MANHATTAN,FED_GOV,40.737182,-73.976713,Manhattan
ANSONIA,FED_GOV,40.77493,-73.980969,Manhattan
MANHATTAN VMF,FED_GOV,40.750397,-74.006467,Manhattan
Beekman Garage,No data,40.710636,-74.006195,Brooklyn
Eastway Parking,No data,40.76211452,-73.98525398,Manhattan
Beltmont Parking,No data,40.7789084,-73.957318,Manhattan
Beekman Parking,No data,40.7547868,-73.965044,Manhattan
